victim_set,victim_line_count,probe_set,count,sum_probe_time
1,0,34,3433,208600
1,0,35,3435,207318
1,0,36,3435,207315
1,0,37,3434,207765
1,0,38,3434,206628
1,0,39,3432,208146
1,0,40,3433,210471
1,0,41,3434,206896
1,0,42,3435,207335
1,0,43,3436,207272
1,0,44,3433,207787
1,0,45,3431,206928
1,0,46,3436,208711
1,0,47,3435,205915
1,0,48,3435,208554
1,0,49,3432,208551
1,0,50,3433,206457
1,0,51,3434,207341
1,0,52,3432,208812
1,0,53,3434,210374
1,0,54,3435,207267
1,0,55,3434,209012
1,0,56,3436,206128
1,0,57,3435,206776
1,0,58,3434,206780
1,0,59,3434,206022
1,0,60,3436,206796
1,0,61,3435,208081
1,0,62,3436,207506
1,0,63,3436,206057
1,1,0,3450,205907
1,1,1,3451,208596
1,1,2,3451,205764
1,1,3,3451,205837
1,1,4,3451,206913
1,1,5,3451,208331
1,1,6,3450,207420
1,1,7,3450,207034
1,1,8,3450,208911
1,1,9,3449,210767
1,1,10,3449,208710
1,1,11,3451,209787
1,1,12,3448,208711
1,1,13,3448,209833
1,1,14,3450,207744
1,1,15,3450,207793
1,1,16,3450,208241
1,1,17,3450,208353
1,1,18,3450,209717
1,1,19,3451,207130
1,1,20,3450,207362
1,1,21,3451,207158
1,1,22,3451,206503
1,1,23,3449,207147
1,1,24,3449,209168
1,1,25,3449,210172
1,1,26,3450,206427
1,1,27,3451,206773
1,1,28,3450,207206
1,1,29,3446,208954
1,1,30,3450,207651
1,1,31,3448,211239
1,1,32,3451,209313
1,1,33,3449,208650
1,1,34,3447,211085
1,1,35,3448,207479
1,1,36,3450,208414
1,1,37,3449,207816
1,1,38,3451,206742
1,1,39,3450,209809
1,1,40,3450,211105
1,1,41,3450,207375
1,1,42,3449,209478
1,1,43,3451,206923
1,1,44,3450,208983
1,1,45,3451,208788
1,1,46,3449,208597
1,1,47,3447,207654
1,1,48,3450,207977
1,1,49,3450,211195
1,1,50,3449,208067
1,1,51,3451,207410
1,1,52,3444,208882
1,1,53,3448,211450
1,1,54,3451,207722
1,1,55,3450,208851
1,1,56,3450,206817
1,1,57,3449,206717
1,1,58,3450,208403
1,1,59,3450,207257
1,1,60,3449,207040
1,1,61,3450,208989
1,1,62,3451,207242
1,1,63,3451,207077
1,2,0,3412,203145
1,2,1,3411,204637
1,2,2,3411,203601
