victim_set,victim_line,probe_set,count,sum_probe_time
0,8,54,1207,158516
0,8,55,1207,155956
0,8,56,1207,155608
0,8,57,1207,155060
0,8,58,1207,155860
0,8,59,1207,155732
0,8,60,1207,155444
0,8,61,1206,154924
0,8,62,1207,269518
0,8,63,1207,252974
0,9,0,1188,243542
0,9,1,1189,246486
0,9,2,1189,244676
0,9,3,1189,214776
0,9,4,1189,214574
0,9,5,1189,213862
0,9,6,1189,211514
0,9,7,1189,210500
0,9,8,1189,213556
0,9,9,1189,240668
0,9,10,1189,163198
0,9,11,1189,244870
0,9,12,1189,246934
0,9,13,1189,245152
0,9,14,1189,244988
0,9,15,1189,243974
0,9,16,1189,244470
0,9,17,1189,153622
0,9,18,1189,153140
0,9,19,1189,163702
0,9,20,1189,153358
0,9,21,1189,154052
0,9,22,1189,153900
0,9,23,1189,153268
0,9,24,1188,153746
0,9,25,1189,153320
0,9,26,1189,244518
0,9,27,1189,244484
0,9,28,1189,153196
0,9,29,1189,244308
0,9,30,1189,158968
0,9,31,1189,153596
0,9,32,1189,153244
0,9,33,1189,153130
0,9,34,1189,153298
0,9,35,1189,153566
0,9,36,1189,154592
0,9,37,1189,153260
0,9,38,1189,153252
0,9,39,1189,153668
0,9,40,1189,153262
0,9,41,1189,157780
0,9,42,1189,152974
0,9,43,1189,153438
0,9,44,1189,157600
0,9,45,1189,153500
0,9,46,1188,244414
0,9,47,1188,152954
0,9,48,1189,157234
0,9,49,1188,153638
0,9,50,1189,153256
0,9,51,1189,153480
0,9,52,1189,155116
0,9,53,1189,153534
0,9,54,1189,158658
0,9,55,1189,153768
0,9,56,1189,153062
0,9,57,1189,153232
0,9,58,1189,153644
0,9,59,1189,153142
0,9,60,1189,153036
0,9,61,1189,153382
0,9,62,1189,265450
0,9,63,1189,249148
0,10,0,1174,241078
0,10,1,1174,241690
0,10,2,1174,241852
0,10,3,1174,213420
0,10,4,1174,214392
0,10,5,1174,212298
0,10,6,1173,210092
0,10,7,1174,210680
0,10,8,1174,212532
0,10,9,1174,160746
0,10,10,1174,160576
0,10,11,1174,151170
0,10,12,1174,151288
0,10,13,1174,151260
0,10,14,1174,152136
0,10,15,1174,151534
0,10,16,1173,241044
0,10,17,1174,237878
0,10,18,1173,242214
0,10,19,1174,241898
0,10,20,1173,242060
0,10,21,1174,242046
0,10,22,1174,242138
0,10,23,1174,241640
0,10,24,1174,242098
0,10,25,1174,175624
0,10,26,1174,241054
0,10,27,1173,240646
0,10,28,1174,151520
0,10,29,1174,241220
0,10,30,1174,151594
0,10,31,1174,151900
0,10,32,1174,151018
0,10,33,1174,151502
0,10,34,1174,152234
0,10,35,1174,151466
0,10,36,1174,151956
0,10,37,1174,152562
0,10,38,1174,150994
0,10,39,1174,151742
0,10,40,1174,151162
0,10,41,1174,155054
0,10,42,1174,152112
0,10,43,1173,151552
0,10,44,1174,154382
0,10,45,1173,151214
0,10,46,1174,241212
0,10,47,1174,151624
0,10,48,1174,154296
0,10,49,1174,152532
0,10,50,1174,151596
0,10,51,1174,151454
0,10,52,1174,152202
0,10,53,1174,152394
0,10,54,1174,155278
0,10,55,1174,151714
0,10,56,1174,150538
0,10,57,1174,151270
0,10,58,1174,152044
0,10,59,1174,151216
0,10,60,1174,151380
0,10,61,1174,151740
0,10,62,1174,261970
0,10,63,1173,245012
0,11,0,1175,241186
0,11,1,1175,244394
0,11,2,1175,246616
0,11,3,1175,223726
0,11,4,1174,212194
0,11,5,1175,212322
0,11,6,1175,209894
0,11,7,1175,209510
0,11,8,1175,212010
0,11,9,1175,163646
0,11,10,1175,160328
0,11,11,1174,150934
0,11,12,1174,151238
0,11,13,1175,151502
0,11,14,1175,151174
0,11,15,1175,151568
0,11,16,1175,241922
0,11,17,1175,152436
0,11,18,1175,151418
0,11,19,1175,151460
0,11,20,1174,151230
0,11,21,1175,152096
0,11,22,1175,152228
0,11,23,1175,151696
0,11,24,1174,151904
0,11,25,1175,242492
0,11,26,1175,248130
0,11,27,1175,242586
0,11,28,1175,244010
0,11,29,1175,242912
0,11,30,1175,242424
0,11,31,1175,241236
0,11,32,1175,151380
0,11,33,1175,151878
0,11,34,1175,151404
0,11,35,1175,151246
0,11,36,1175,151882
0,11,37,1175,151244
0,11,38,1175,151276
0,11,39,1175,151602
0,11,40,1175,151430
0,11,41,1175,155934
0,11,42,1175,151086
0,11,43,1175,151392
0,11,44,1175,156028
0,11,45,1175,151830
0,11,46,1174,241496
0,11,47,1175,150952
0,11,48,1175,155600
0,11,49,1175,151678
0,11,50,1175,151544
0,11,51,1175,151046
0,11,52,1175,151816
0,11,53,1175,151602
0,11,54,1175,156004
0,11,55,1175,151754
0,11,56,1175,150964
0,11,57,1175,150900
0,11,58,1175,151704
0,11,59,1175,151428
0,11,60,1175,151500
